10102	199507	0.9312	1	3	4	5	46.4191	43.247	2	1.5	8	10	4	4	3	4	4	3	3	3	4	3	3	3	1	3	2	2	4	4	2	3	3	4	3	3	4	0	2	1	2	4	1	1	1	1	2
10103	199400	.	1	5	1	1	.	42.3615	1.5	2	.	11	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10104	199403	0.034	1	8	.	.	41.9997	.	.	.	8	.	2	3	1	4	1	3	3	3	3	3	2	1	0	2	2	1	4	4	3	3	3	3	4	3	2	0	4	1	1	4	1	3	2	1	1
10105	199412	1.0498	2	8	3	5	63.0972	62.0006	3.5	3.5	6	8	3	3	3	3	3	3	3	3	4	4	4	3	0	3	2	3	3	3	3	3	3	3	3	4	3	0	2	2	2	4	1	1	1	1	2
10106	199411	-0.4907	1	3	2	.	57.5439	56.6333	3.5	3.5	10	8	3	3	4	4	4	3	3	3	3	3	3	3	0	2	2	3	4	4	3	3	3	3	3	3	3	0	2	2	2	3	1	2	2	2	2
10107	199504	1.2984	2	3	5	4	55.4635	53.7252	3.5	3.5	10	10	4	3	3	3	3	3	3	3	3	3	3	1	1	3	3	3	3	3	3	3	3	3	3	3	2	1	2	3	2	3	1	2	2	1	1
10108	199507	-0.4024	2	6	2	2	64.0261	55.6401	.	.	9	10	2	3	1	3	2	3	2	2	3	2	3	2	0	2	3	2	3	2	3	2	2	2	3	2	3	0	2	2	2	3	2	3	2	2	3
10109	199411	0.0876	2	6	2	4	38.1072	40.9857	2	2	8	6	3	2	3	3	3	3	2	3	2	3	3	3	0	3	3	4	4	4	3	3	3	3	4	3	3	1	2	2	2	3	2	4	2	2	1
10110	199501	0.5598	2	8	.	.	61.6932	66.7601	3.5	3.5	6	.	4	3	4	4	4	4	4	4	4	3	3	2	1	1	2	2	3	3	2	2	2	3	2	3	3	0	1	2	2	4	1	1	1	1	1
10111	199210	-0.6659	1	8	2	1	30.5673	27.6363	.	0.5	8	2	3	3	2	2	2	2	3	2	2	2	2	2	0	2	2	.	.	.	.	.	.	.	.	.	.	.	2	3	2	2	2	3	2	3	2
10112	199510	1.4591	1	2	5	4	77.4288	74.3539	4	4	10	10	3	4	3	3	3	3	4	4	4	3	3	3	0	4	3	4	3	4	4	4	3	4	4	3	4	1	1	1	1	3	2	1	2	1	2
10113	199503	-0.8455	1	5	2	.	54.4463	51.2128	2.5	2	11	11	2	2	3	4	4	3	2	3	3	2	2	1	0	2	2	3	4	4	3	3	3	3	3	3	3	0	2	1	3	3	2	4	1	4	1
10114	199412	-0.8049	1	8	1	1	44.5891	.	3	2.5	4	2	3	3	4	4	4	3	3	3	3	3	3	2	0	2	1	3	3	3	2	3	2	2	3	3	3	0	2	1	1	3	2	4	1	3	1
10115	199407	-0.0649	1	8	2	2	58.8679	53.1339	3	2.5	11	2	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	2	3	2	3	3	3	3	3	3	3	1	2	2	2	3	2	2	2	2	1
10116	199410	-0.4728	1	5	2	.	58.4891	52.8832	2.5	2	10	6	3	2	4	4	4	3	3	3	3	3	4	2	0	3	3	3	3	3	3	3	3	3	4	4	4	0	1	1	2	4	2	2	1	1	1
10117	199504	0.2802	2	8	4	2	60.5147	54.7168	3.5	3.5	6	6	2	2	.	.	.	.	.	.	.	.	.	.	.	2	2	3	3	2	3	2	3	3	3	3	3	0	2	2	2	3	2	2	2	2	2
10118	199401	0.215	1	3	2	.	49.8312	49.1528	.	.	8	6	1	1	4	4	4	3	3	3	3	1	4	1	0	2	2	3	3	4	3	3	3	3	4	4	4	0	1	1	1	4	1	2	2	2	1
10119	199402	-1.0862	1	8	2	.	38.2736	43.0683	1.5	1.5	2	1	1	1	3	3	3	2	2	2	2	1	1	1	0	.	.	1	1	1	.	.	.	.	1	4	4	0	.	.	.	.	.	.	.	.	.
10120	199406	-0.7924	1	5	2	1	47.6869	50.1505	2	2	4	11	2	2	4	4	4	3	3	3	4	3	4	3	0	3	2	2	4	3	3	2	3	3	3	3	3	0	2	1	1	3	2	3	1	1	1
10121	199406	-0.7549	1	6	2	2	34.2949	41.317	2	2	6	2	2	3	4	4	4	3	3	3	3	3	3	3	0	2	2	3	4	4	4	4	4	4	3	4	4	0	2	1	2	4	2	2	1	1	1
10122	199506	0.2871	2	2	.	.	56.3244	53.9746	4	3.5	10	.	3	3	2	3	2	4	4	4	4	4	2	1	0	3	3	.	.	.	.	.	.	.	.	.	.	.	1	1	1	3	1	1	1	1	1
10123	199500	.	1	8	2	2	.	36.5273	1.5	1.5	.	11	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10124	199504	0.3555	2	8	.	.	49.2027	37.5238	3.5	3	11	.	3	3	4	4	4	3	3	3	3	4	4	4	1	3	3	3	4	4	3	3	3	4	3	4	4	0	2	1	2	3	1	1	1	1	2
10126	199407	0.3709	1	8	5	2	33.7073	41.1813	1.5	1.5	4	6	1	1	3	3	2	2	3	2	3	1	1	1	1	1	1	4	4	4	1	1	1	.	1	1	1	0	4	.	.	.	.	2	2	2	2
10127	199508	-0.4293	2	3	2	2	49.547	48.5548	.	.	8	10	2	2	3	4	4	2	1	3	4	2	4	2	0	2	2	2	4	3	3	3	3	3	2	2	1	0	2	3	1	3	1	3	1	2	2
10128	199410	0.2533	1	2	4	4	52.3332	53.1795	.	.	11	6	2	2	.	.	.	.	.	.	.	.	.	.	.	3	2	.	.	.	.	.	.	.	.	.	.	.	2	2	2	3	1	3	1	2	2
10129	199411	0.2807	1	6	3	3	71.1744	66.4965	3.5	3	8	8	3	3	3	3	3	3	3	3	3	3	3	2	0	3	3	3	3	3	3	3	3	3	4	4	4	0	2	2	2	3	2	2	1	1	1
10130	199409	-0.7751	2	8	2	.	40.3799	40.6355	3.5	3.5	2	10	2	2	4	3	3	2	2	2	3	1	2	2	0	1	1	3	2	.	1	2	2	2	2	1	1	0	1	1	1	2	1	1	2	1	1
10131	199502	0.5592	1	5	2	5	75.5809	75.7788	4	4	10	10	4	4	3	4	3	4	4	4	4	2	2	2	1	2	3	3	4	3	4	3	4	3	4	4	4	0	1	1	1	4	2	1	2	2	1
10132	199412	0.3202	2	8	4	.	57.4303	61.7479	3.5	3.5	6	6	2	2	3	3	3	3	2	3	3	3	3	3	0	2	2	3	3	2	3	2	3	3	3	3	3	0	2	2	2	3	2	2	2	2	2
10133	199505	-1.1259	1	5	2	1	57.9203	.	1	1	6	3	2	2	2	3	3	3	3	3	3	3	3	3	0	2	2	.	.	.	3	3	2	3	2	3	2	0	2	2	2	3	2	2	3	3	4
